"CÃ³digo","Nombre SAP","Nombre Final ES","Nombre Final EN"
"VBAN05-0012-000-0439","MUEBLE MONET ELEVADO LVM 63X48 MITTE/TAMBO","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0442","MUEBLE MONET ELEVADO LVM 63X48 GRACIA/SIKUANI","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0447","MUEBLE MONET ELEVADO LVM 63X48 CARBONO/BAUDO","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0458","MUEBLE MONET ELEVADO LVM 63X48 TRIBECA","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0467","MUEBLE MONET ELEVADO LVM 63X48 CINZA COBALTO","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0493","MUEBLE MONET ELEVADO LVM 63X48 AUSTRAL","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-1345","MUEBLE MONET ELEVADO LVM 63X48 VOLCANICO AMAZONAS","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0015-000-0100","MUEBLE BASICO PISO LVM 63X48 BLANCO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0368","MUEBLE BASICO PISO LVM 63X48 TABACO CHIC","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0392","MUEBLE BASICO PISO LVM 63X48 WENGUE","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0437","MUEBLE BASICO PISO LVM 63X48 SODER/MALI","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0439","MUEBLE BASICO PISO LVM 63X48 MITTE/TAMBO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0442","MUEBLE BASICO PISO LVM 63X48 GRACIA/SIKUANI","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0447","MUEBLE BASICO PISO LVM 63X48 CARBONO/BAUDO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0458","MUEBLE BASICO PISO LVM 63X48 TRIBECA","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0015-000-0467","MUEBLE BASICO PISO LVM 63X48 CINZA COBALTO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
